Year,No,Position,Player,Words,OneName,DOB,Age,Caps,Club,ClubCountry
1974,16,DF,Marco Antônio,2,FALSE,6-Feb-51,23,27,Brazil Fluminense,Brazil
1974,17,MF,Carpegiani,1,TRUE,7-Feb-49,25,5,Brazil Internacional,Brazil
1974,18,MF,Ademir da Guia,3,FALSE,3-Apr-42,32,8,Brazil Palmeiras,Brazil
1974,19,FW,Mirandinha,1,TRUE,26-Feb-52,22,3,Brazil São Paulo,Brazil
1974,20,FW,Edu,1,TRUE,6-Aug-49,24,41,Brazil Santos,Brazil
1974,21,MF,Dirceu,1,TRUE,15-Jun-52,21,4,Brazil Botafogo,Brazil
1974,22,GK,Valdir Peres,2,FALSE,2-Feb-51,23,0,Brazil São Paulo,Brazil
1978,1,GK,Leão,1,TRUE,11-Jul-49,28,50,Brazil Palmeiras,Brazil
1978,2,DF,Toninho,1,TRUE,7-Jun-48,29,4,Brazil Flamengo,Brazil
1978,3,DF,Oscar,1,TRUE,20-Jun-54,23,4,Brazil Ponte Preta,Brazil
1978,4,DF,Amaral,1,TRUE,25-Dec-54,23,22,Brazil Corinthians,Brazil
1978,5,MF,Toninho Cerezo,2,FALSE,21-Apr-55,23,16,Brazil Atlético Mineiro,Brazil
1978,6,DF,Edinho,1,TRUE,5-Jun-55,22,12,Brazil Fluminense,Brazil
1978,7,FW,Zé Sérgio,2,FALSE,8-Mar-57,21,2,Brazil São Paulo,Brazil
1978,8,MF,Zico,1,TRUE,3-Mar-53,25,21,Brazil Flamengo,Brazil
1978,9,FW,Reinaldo,1,TRUE,11-Jan-57,21,12,Brazil Atlético Mineiro,Brazil
1978,10,FW,Rivelino,1,TRUE,1-Jan-46,32,88,Brazil Fluminense,Brazil
1978,11,MF,Dirceu,1,TRUE,15-Jun-52,25,14,Brazil Vasco da Gama,Brazil
1978,12,GK,Carlos,1,TRUE,4-Mar-56,22,0,Brazil Ponte Preta,Brazil
1978,13,DF,Nelinho,1,TRUE,26-Jul-50,27,13,Brazil Cruzeiro,Brazil
1978,14,DF,Abel,1,TRUE,1-Sep-52,25,1,Brazil Vasco da Gama,Brazil
1978,15,DF,Polozzi,1,TRUE,1-Oct-55,22,0,Brazil Ponte Preta,Brazil
1978,16,DF,Rodrigues Neto,2,FALSE,6-Dec-49,28,7,Brazil Botafogo,Brazil
1978,17,MF,Batista,1,TRUE,8-Mar-55,23,4,Brazil Internacional,Brazil
1978,18,FW,Gil,1,TRUE,24-Dec-50,27,22,Brazil Botafogo,Brazil
1978,19,FW,Jorge Mendonça,2,FALSE,6-Jun-54,23,0,Brazil Palmeiras,Brazil
1978,20,FW,Roberto Dinamite,2,FALSE,13-Apr-54,24,20,Brazil Vasco da Gama,Brazil
1978,21,MF,Chicão,1,TRUE,30-Jan-49,29,5,Brazil São Paulo,Brazil
1978,22,GK,Valdir Peres,2,FALSE,2-Feb-51,27,5,Brazil São Paulo,Brazil
1982,1,GK,Valdir Peres,2,FALSE,2-Feb-51,31,23,Brazil São Paulo,Brazil
1982,2,DF,Leandro,1,TRUE,17-Mar-59,23,6,Brazil Flamengo,Brazil
1982,3,DF,Oscar,1,TRUE,20-Jun-54,27,36,Brazil São Paulo,Brazil
1982,4,DF,Luizinho,1,TRUE,22-Oct-58,23,24,Brazil Atlético Mineiro,Brazil
1982,5,MF,Toninho Cerezo,2,FALSE,21-Apr-55,27,49,Brazil Atlético Mineiro,Brazil
1982,6,DF,Júnior,1,TRUE,29-Jun-56,25,35,Brazil Flamengo,Brazil
1982,7,FW,Paulo Isidoro,2,FALSE,3-Aug-53,28,28,Brazil Grêmio,Brazil
1982,8,MF,Sócrates,1,TRUE,19-Feb-54,28,33,Brazil Corinthians,Brazil
1982,9,FW,Serginho,1,TRUE,23-Dec-53,28,15,Brazil São Paulo,Brazil
1982,10,MF,Zico,1,TRUE,3-Mar-53,29,56,Brazil Flamengo,Brazil
1982,11,FW,Éder,1,TRUE,25-May-57,25,24,Brazil Atlético Mineiro,Brazil
1982,12,GK,Paulo Sérgio,2,FALSE,24-Jul-54,27,3,Brazil Botafogo,Brazil
1982,13,DF,Edevaldo,1,TRUE,28-Jan-58,24,17,Brazil Internacional,Brazil
1982,14,DF,Juninho,1,TRUE,29-Aug-58,23,4,Brazil Ponte Preta,Brazil
1982,15,MF,Falcão,1,TRUE,16-Oct-53,28,17,Italy Roma,Italy
1982,16,DF,Edinho,1,TRUE,5-Jun-55,27,34,Brazil Fluminense,Brazil
1982,17,DF,Pedrinho,1,TRUE,22-Oct-57,24,8,Brazil Vasco da Gama,Brazil
1982,18,MF,Batista,1,TRUE,8-Mar-55,27,32,Brazil Grêmio,Brazil
1982,19,MF,Renato,1,TRUE,21-Feb-57,25,13,Brazil São Paulo,Brazil
1982,20,FW,Roberto Dinamite,2,FALSE,13-Apr-54,28,32,Brazil Vasco da Gama,Brazil
1982,21,MF,Dirceu,1,TRUE,15-Jun-52,29,23,Spain Atlético Madrid,Spain
1982,22,GK,Carlos,1,TRUE,4-Mar-56,26,6,Brazil Ponte Preta,Brazil
1986,1,GK,Carlos,1,TRUE,4-Mar-56,30,,Brazil Corinthians,Brazil
1986,2,DF,Édson,1,TRUE,3-Jul-59,26,,Brazil Corinthians,Brazil
1986,3,DF,Oscar,1,TRUE,20-Jun-54,31,,Brazil São Paulo,Brazil
1986,4,DF,Edinho,1,TRUE,5-Jun-55,30,,Italy Udinese,Italy
1986,5,MF,Falcão,1,TRUE,16-Oct-53,32,,Brazil São Paulo,Brazil
1986,6,DF,Júnior,1,TRUE,29-Jun-54,31,,Italy Torino,Italy
1986,7,FW,Müller,1,TRUE,31-Jan-66,20,,Brazil São Paulo,Brazil
1986,8,FW,Casagrande,1,TRUE,15-Apr-63,23,,Brazil Corinthians,Brazil
1986,9,FW,Careca,1,TRUE,5-Oct-60,25,,Brazil São Paulo,Brazil
1986,10,FW,Zico,1,TRUE,3-Mar-53,33,,Brazil Flamengo,Brazil
1986,11,FW,Edivaldo,1,TRUE,13-Apr-62,24,,Brazil Atlético Mineiro,Brazil
1986,12,GK,Paulo Vitor,2,FALSE,7-Jun-57,28,,Brazil Fluminense,Brazil
1986,13,DF,Josimar,1,TRUE,19-Sep-61,24,,Brazil Botafogo,Brazil
1986,14,DF,Júlio César,2,FALSE,8-Mar-63,23,,Brazil Guarani,Brazil
1986,15,MF,Alemão,1,TRUE,22-Nov-61,24,,Brazil Botafogo,Brazil
1986,16,DF,Mauro Galvão,2,FALSE,19-Dec-61,24,,Brazil Internacional,Brazil
1986,17,DF,Branco,1,TRUE,4-Apr-64,22,,Brazil Fluminense,Brazil
1986,18,MF,Sócrates,1,TRUE,19-Feb-54,32,,Brazil Flamengo,Brazil
1986,19,MF,Elzo,1,TRUE,22-Jan-61,25,,Brazil Atlético Mineiro,Brazil
1986,20,MF,Silas,1,TRUE,27-Aug-65,20,,Brazil São Paulo,Brazil
1986,21,MF,Valdo,1,TRUE,12-Jan-64,22,,Brazil Grêmio,Brazil
1986,22,GK,Leão,1,TRUE,11-Jul-49,36,,Brazil Palmeiras,Brazil
1990,1,GK,Taffarel,1,TRUE,8-May-66,24,,Brazil Internacional,Brazil
1990,2,DF,Jorginho,1,TRUE,17-Aug-64,25,,West Germany Bayer Leverkusen,West Germany
1990,3,DF,Ricardo Gomes,2,FALSE,13-Dec-64,25,,Portugal Benfica,Portugal
